,titles,locations,prices
1,5 Bed House with En Suite in Kamakis,"Kamakis, Ruiru",18500000.0
2,6 Bed House with En Suite at Lamu Town,"Lamu Town, Lamu, lamu",24000000.0
3,3 Bed Townhouse with En Suite in Mtwapa,"0105, Mtwapa",195000000.0
4,5 Bed Townhouse with En Suite at Lavington Green,"Maziwa, Lavington Green, Lavington",22000000.0
5,4 Bed Townhouse with En Suite in Kileleshwa,Kileleshwa,73000000.0
6,5 Bed House with En Suite in Garden Estate,"Garden Estate, Roysambu",12500000.0
7,10 Bed House with En Suite at Isaac Gathanju Road,"Isaac Gathanju Road, Lavington",81000000.0
8,6 Bed House with En Suite at Near Sasini Factory,"Near Sasini Factory, Kiambu Road",4000000.0
9,4 Bed House with En Suite at Greenspot Gardens,"GreenSpot Gardens, Kamakis, Ruiru",55000000.0
10,3 Bed House with En Suite in Kitengela,Kitengela,8000000.0
11,3 Bed House with En Suite at Acacia Area,"Acacia area, Kitengela",71000000.0
12,3 Bed House with En Suite at Nkoroi,"Nkoroi, Ongata Rongai",65000000.0
13,5 Bed House with En Suite at Daykio Area,"Daykio area, Ruiru",28000000.0
14,4 Bed House with En Suite at Mugutha Area,"Mugutha area, Ruiru",58000000.0
15,3 Bed House with En Suite at Kibiko,"Kibiko, Ngong",9000000.0
16,6 Bed Villa with En Suite at Ruiru,Ruiru,135000000.0
17,4 Bed Villa with En Suite at Rosslyn Lone Tree,"55, Rosslyn lone Tree, Rosslyn, Westlands",6500000.0
18,4 Bed Townhouse with En Suite at Rossline Lone Tree,"65, Rossline Lone tree, Rosslyn, Westlands",80000.0
19,4 Bed House with En Suite at Mugutha,"Mugutha, Ruiru",75000000.0
20,4 Bed House with En Suite at Rossline Lone Tree,"77, Rossline Lone tree, Rosslyn, Westlands",155000000.0
21,5 Bed Townhouse with En Suite in Lavington,Lavington,130000000.0
22,4 Bed Townhouse with En Suite in Lavington,Lavington,8800000.0
23,5 Bed House with En Suite in Runda,"Runda, Westlands",6800000.0
24,2 Bed Villa with En Suite at Gtc,"westlands, GTC, Westlands Area, Westlands",81000000.0
25,4 Bed Villa with En Suite at Mambrui,"Mambrui, Malindi",198000000.0
26,5 Bed House with En Suite in Loresho,"Loresho, Westlands",55000000.0
27,5 Bed House with En Suite at Karen Range,"Karen Range, Karen",150000000.0
28,4 Bed House with En Suite at Thigio,"Thigio, Kamangu",80000000.0
29,5 Bed House with En Suite at Thigiri,"Thigiri, Westlands",71000000.0
30,7 Bed House with En Suite in Karen,Karen,7500000.0
31,4 Bed House with En Suite in Karen,Karen,10900000.0
32,4 Bed House with En Suite in Ruiru,Ruiru,110000000.0
33,5 Bed Villa with En Suite in Karen,Karen,45000000.0
34,5 Bed Townhouse with En Suite in Lavington,Lavington,20000000.0
35,4 Bed Townhouse with En Suite in Lavington,Lavington,18000000.0
36,5 Bed Townhouse with En Suite in Lavington,Lavington,290000000.0
37,4 Bed House with En Suite at New Runda,"00502, New runda, Runda, Westlands",19500000.0
38,4 Bed Townhouse with En Suite in Lavington,Lavington,23000000.0
39,4 Bed Townhouse with En Suite at Membley,"Membley, Ruiru",24000000.0
40,5 Bed House with En Suite in Lavington,Lavington,80000000.0
41,4 Bed Townhouse with En Suite in Kileleshwa,Kileleshwa,150000000.0
42,3 Bed House with En Suite at Lavington,"Maziwa, Njumbi Rd, Lavington",65000000.0
43,4 Bed House with En Suite at Kitengela (Acacia),"Kitengela (Acacia), Kitengela",115000000.0
44,3 Bed House with En Suite at Kitengela (Milimani),"Kitengela (Milimani), Kitengela",23900000.0
45,4 Bed House with En Suite at Kitengela (Acacia),"Kitengela (Acacia), Kitengela",62000000.0
46,4 Bed House with En Suite at Loresho Crescent,"Loresho Crescent, Loresho, Westlands",32000000.0
47,4 Bed Townhouse with En Suite at Grevellia Brookside Nairobi,"0328J, Grevellia Brookside Nairobi, Brookside, Westlands",93000000.0
48,5 Bed Villa with En Suite at Muthangari Area,"Muthangari area, Lavington",14000000.0
49,5 Bed Villa with En Suite at Karen Rd Waterfront,"Karen Rd Waterfront, Karen",71000000.0
50,6 Bed House with En Suite at Near The Hub Karen,"Near The Hub Karen, Karen",35000000.0
51,5 Bed Townhouse with En Suite in Kitisuru,"Kitisuru, Westlands",180000000.0
52,3 Bed Townhouse with En Suite at Mtwapa,"mtwapa, Mombasa CBD, Mombasa Island",130000000.0
53,4 Bed Townhouse with En Suite at Ruiru,Ruiru,81000000.0
54,4 Bed Villa with En Suite at Membley Estate,"Membley Estate, Eastern ByPass, Ruiru",17500000.0
55,5 Bed House with En Suite in Nyari,"Nyari, Westlands",28000000.0
56,4 Bed Townhouse with En Suite at Lavington Green,"Lavington green, Lavington",9000000.0
57,5 Bed Villa with En Suite in Runda,"Runda, Westlands",85000000.0
58,5 Bed Townhouse with En Suite in Kitisuru,"Kitisuru, Westlands",48000000.0
59,5 Bed House with En Suite in Lower Kabete,"Lower Kabete, Westlands",75000000.0
60,5 Bed House with En Suite in Lavington,Lavington,37000000.0
61,5 Bed Townhouse with En Suite at Langata Road-,"1Langata road-Kitengela lane, Langata road-, Langata",16000000.0
62,4 Bed House with En Suite at Ruiru Easterbypass,"Kamakis, Ruiru Easterbypass, Ruiru",5500000.0
63,4 Bed Townhouse with En Suite in Muthaiga,Muthaiga,17000000.0
64,4 Bed House with En Suite at Loresho,"Loresho, Westlands",13500000.0
65,3 Bed House with En Suite in Ruiru,Ruiru,30000000.0
66,4 Bed House with En Suite in Ruiru,Ruiru,55000000.0
67,5 Bed House in General Mathenge,"General Mathenge, Westlands",150000000.0
68,4 Bed Townhouse with Staff Quarters at Kamakis,"Kamakis, Ruiru",7500000.0
69,4 Bed Townhouse with En Suite at Phenom Estate,"Phenom Estate, Langata",32000000.0
70,5 Bed Townhouse with En Suite in Lavington,Lavington,16500000.0
71,4 Bed Townhouse with En Suite in Lavington,Lavington,93000000.0
72,5 Bed Townhouse with En Suite at Lavington,"LAVINGTON, Lavington",84000000.0
73,4 Bed Villa with En Suite in Karen,Karen,7000000.0
74,5 Bed House with En Suite in Ruiru,Ruiru,12500000.0
75,4 Bed House with En Suite in Lavington,Lavington,100000000.0
76,4 Bed Townhouse with Walk In Closet at Muigai Prestige Estate,"Jacaranda Lane, Muigai Prestige Estate, Kitengela",78000000.0
77,6 Bed Townhouse with En Suite in Lavington,Lavington,22000000.0
78,3 Bed House with En Suite at Kitengela (Milimani),"Kitengela (Milimani), Kitengela",70000000.0
79,4 Bed Villa with En Suite at Kileleshwa,"kileleshwa, Kileleshwa",220000000.0
80,6 Bed Townhouse with En Suite at Shanzu Road,"shanzu Road, Westlands Area, Westlands",145000000.0
81,5 Bed House with En Suite in Syokimau,Syokimau,18500000.0
82,5 Bed Townhouse with En Suite at Westlands,"westlands, Westlands Area, Westlands",16600000.0
83,4 Bed House with En Suite at Utange,"Utange, Bamburi",23000000.0
84,3 Bed House with En Suite at Kimalat Area,"Kimalat Area, Kitengela",24900000.0
85,4 Bed Townhouse with En Suite at Fourways Junction Estate,"Fourways Junction Estate, Kiambu Road",30000000.0
86,3 Bed Townhouse with En Suite at Near Kimalat Medical Centre,"Near East African University, Near Kimalat Medical Centre, Kitengela",55000000.0
87,4 Bed Villa with En Suite at Kikuyu,"Kamangu Area, Kikuyu, Kamangu",150000000.0
88,5 Bed House with En Suite at Maki Estate,"Maki Estate, Thika",195000000.0
89,5 Bed House with En Suite at Off Gitanga Road,"Off Gitanga Road, Lavington",8500000.0
90,5 Bed Villa with En Suite in Karen,Karen,71000000.0
91,5 Bed House with En Suite at Thika Road,"0326n, thika road, Thika Road",110000000.0
92,4 Bed House with En Suite in Langata,Langata,11500000.0
93,3 Bed House with En Suite in Utawala,Utawala,180000000.0
94,4 Bed House with En Suite in Kitengela,Kitengela,19000000.0
95,5 Bed House with En Suite in Runda,"Runda, Westlands",59000000.0
96,5 Bed Villa with En Suite in Kileleshwa,Kileleshwa,81000000.0
97,4 Bed Townhouse with En Suite at Kileleshwa,Kileleshwa,220000000.0
98,3 Bed House in Kitengela,Kitengela,350000000.0
99,4 Bed Townhouse with En Suite in Kileleshwa,Kileleshwa,40000000.0
100,5 Bed Townhouse with En Suite at Jacaranda Avenue,"45, Jacaranda avenue, Lavington",85000000.0
